Target Distance: 100, Step Size: 1
37290: (x,y) = (-1121.82,14729.7)
37291: (x,y) = (-1252.3,14885.2)
37292: (x,y) = (-1443.06,14954.7)
37293: (x,y) = (-1641.62,14996.9)
37294: (x,y) = (-1638.08,14793.9)
37295: (x,y) = (-1791.29,14927.1)
37296: (x,y) = (-1589.8,14902.4)
37297: (x,y) = (-1438.94,14766.5)
37298: (x,y) = (-1641.66,14755.9)
37299: (x,y) = (-1834.73,14693.2)
37300: (x,y) = (-1831.18,14896.1)
37301: (x,y) = (-1642.97,14972.2)
37302: (x,y) = (-1842.24,15010.9)
37303: (x,y) = (-2037.37,15066.9)
37304: (x,y) = (-2209.53,15174.4)
37305: (x,y) = (-2114.22,14995.2)
37306: (x,y) = (-2262.69,15133.7)
37307: (x,y) = (-2403.7,15279.7)
37308: (x,y) = (-2250.5,15146.5)
37309: (x,y) = (-2097.29,15013.3)
37310: (x,y) = (-1895.4,14992.1)
37311: (x,y) = (-1971.45,15180.3)
37312: (x,y) = (-2133.57,15058.1)
37313: (x,y) = (-1935.01,15015.9)
37314: (x,y) = (-1963.26,15217)
37315: (x,y) = (-2082.58,15381.2)
37316: (x,y) = (-1903.34,15285.9)
37317: (x,y) = (-2104.83,15261.2)
37318: (x,y) = (-2062.62,15062.6)
37319: (x,y) = (-1932.14,15218.1)
37320: (x,y) = (-1946.3,15015.6)
37321: (x,y) = (-2130.28,14929.8)
37322: (x,y) = (-2005.3,15089.8)
37323: (x,y) = (-1910,14910.5)
37324: (x,y) = (-1713.03,14959.6)
37325: (x,y) = (-1550.9,14837.5)
37326: (x,y) = (-1508.7,15036)
37327: (x,y) = (-1613.25,14862)
37328: (x,y) = (-1574.52,14662.8)
37329: (x,y) = (-1712.96,14811.2)
37330: (x,y) = (-1667.3,15009)
37331: (x,y) = (-1467.38,15044.3)
37332: (x,y) = (-1651.36,15130.1)
37333: (x,y) = (-1746.66,15309.3)
37334: (x,y) = (-1608.22,15457.8)
37335: (x,y) = (-1494.7,15289.5)
37336: (x,y) = (-1381.19,15457.8)
37337: (x,y) = (-1267.67,15626.1)
37338: (x,y) = (-1137.18,15470.6)
37339: (x,y) = (-941.1,15523.1)
37340: (x,y) = (-1017.15,15334.9)
37341: (x,y) = (-1219.65,15349)
37342: (x,y) = (-1016.68,15345.5)
37343: (x,y) = (-1069.22,15541.6)
37344: (x,y) = (-1264.36,15597.5)
37345: (x,y) = (-1090.35,15493)
37346: (x,y) = (-1215.33,15333)
37347: (x,y) = (-1014.31,15361.3)
37348: (x,y) = (-1201.17,15440.6)
37349: (x,y) = (-1018.72,15529.6)
37350: (x,y) = (-911.142,15701.7)
37351: (x,y) = (-825.35,15517.7)
37352: (x,y) = (-953.102,15360)
37353: (x,y) = (-1022.53,15550.7)
37354: (x,y) = (-1144.7,15388.6)
37355: (x,y) = (-1236.86,15569.5)
37356: (x,y) = (-1120.42,15403.2)
37357: (x,y) = (-1323.15,15392.6)
37358: (x,y) = (-1458.98,15241.7)
37359: (x,y) = (-1487.23,15442.7)
37360: (x,y) = (-1338.77,15304.3)
37361: (x,y) = (-1541.49,15314.9)
37362: (x,y) = (-1349.55,15248.8)
37363: (x,y) = (-1154.41,15192.9)
37364: (x,y) = (-1068.62,15008.9)
37365: (x,y) = (-889.383,15104.2)
37366: (x,y) = (-1080.14,15173.6)
37367: (x,y) = (-1228.61,15035.2)
37368: (x,y) = (-1082.58,14894.2)
37369: (x,y) = (-889.515,14831.4)
37370: (x,y) = (-958.945,15022.2)
37371: (x,y) = (-1144.39,14939.6)
37372: (x,y) = (-1332.61,15015.7)
37373: (x,y) = (-1140.67,14949.6)
37374: (x,y) = (-1010.19,14794.1)
37375: (x,y) = (-1207.16,14745)
37376: (x,y) = (-1073.98,14591.8)
37377: (x,y) = (-1276.85,14584.7)
37378: (x,y) = (-1463.72,14505.4)
37379: (x,y) = (-1272.96,14435.9)
37380: (x,y) = (-1237.71,14635.8)
37381: (x,y) = (-1269.46,14435.3)
37382: (x,y) = (-1439.71,14545.9)
37383: (x,y) = (-1642.44,14535.3)
37384: (x,y) = (-1731.43,14352.8)
37385: (x,y) = (-1794.16,14159.8)
37386: (x,y) = (-1689.6,13985.8)
37387: (x,y) = (-1591.19,14163.3)
37388: (x,y) = (-1542.08,14360.3)
37389: (x,y) = (-1388.87,14493.5)
37390: (x,y) = (-1216.72,14601)
37391: (x,y) = (-1234.41,14398.8)
37392: (x,y) = (-1392.17,14271)
37393: (x,y) = (-1194.37,14316.7)
37394: (x,y) = (-1298.93,14490.7)
37395: (x,y) = (-1481.38,14579.7)
37396: (x,y) = (-1470.76,14377)
37397: (x,y) = (-1428.55,14178.4)
37398: (x,y) = (-1235.49,14241.2)
37399: (x,y) = (-1368.67,14087.9)
37400: (x,y) = (-1389.89,13886.1)
37401: (x,y) = (-1514.86,14046)
37402: (x,y) = (-1458.91,14241.2)
37403: (x,y) = (-1373.12,14057.2)
37404: (x,y) = (-1180.05,13994.5)
37405: (x,y) = (-994.604,14077)
37406: (x,y) = (-1122.36,14234.8)
37407: (x,y) = (-1043.04,14047.9)
37408: (x,y) = (-1000.83,14246.5)
37409: (x,y) = (-821.593,14151.2)
37410: (x,y) = (-987.881,14267.6)
37411: (x,y) = (-812.078,14369.1)
37412: (x,y) = (-868.033,14564.3)
37413: (x,y) = (-791.987,14376)
37414: (x,y) = (-962.237,14265.5)
37415: (x,y) = (-1113.1,14129.6)
37416: (x,y) = (-1315.6,14115.5)
37417: (x,y) = (-1133.15,14204.5)
37418: (x,y) = (-1087.48,14006.7)
37419: (x,y) = (-1223.31,14157.5)
37420: (x,y) = (-1147.27,14345.7)
37421: (x,y) = (-1003.73,14202.2)
37422: (x,y) = (-1007.27,13999.2)
37423: (x,y) = (-947.918,13805.1)
37424: (x,y) = (-1138.68,13735.7)
37425: (x,y) = (-964.671,13840.2)
37426: (x,y) = (-932.915,14040.7)
37427: (x,y) = (-736.832,13988.2)
37428: (x,y) = (-939.059,13970.5)
37429: (x,y) = (-761.511,13872.1)
37430: (x,y) = (-927.799,13755.6)
37431: (x,y) = (-770.039,13627.9)
37432: (x,y) = (-590.8,13532.6)
37433: (x,y) = (-782.741,13598.7)
37434: (x,y) = (-831.851,13401.7)
37435: (x,y) = (-690.835,13255.7)
37436: (x,y) = (-580.273,13425.9)
37437: (x,y) = (-622.479,13227.4)
37438: (x,y) = (-720.896,13404.9)
37439: (x,y) = (-864.438,13548.5)
37440: (x,y) = (-906.645,13747)
37441: (x,y) = (-927.864,13545.1)
37442: (x,y) = (-1123.95,13597.7)
37443: (x,y) = (-1088.7,13797.6)
37444: (x,y) = (-1012.65,13985.8)
37445: (x,y) = (-1082.08,13795.1)
37446: (x,y) = (-974.508,13622.9)
37447: (x,y) = (-1088.02,13791.2)
37448: (x,y) = (-1063.28,13589.7)
37449: (x,y) = (-1091.54,13790.7)
37450: (x,y) = (-1137.2,13592.9)
37451: (x,y) = (-941.118,13540.4)
37452: (x,y) = (-888.578,13344.3)
37453: (x,y) = (-728.612,13469.3)
37454: (x,y) = (-721.527,13266.4)
37455: (x,y) = (-518.651,13259.3)
37456: (x,y) = (-414.098,13085.3)
37457: (x,y) = (-557.641,12941.8)
37458: (x,y) = (-363.511,12882.4)
37459: (x,y) = (-482.832,13046.7)
37460: (x,y) = (-410.083,13236.2)
37461: (x,y) = (-340.653,13426.9)
37462: (x,y) = (-333.568,13629.8)
37463: (x,y) = (-180.362,13763)
37464: (x,y) = (-308.114,13605.2)
37465: (x,y) = (-472.345,13485.9)
37466: (x,y) = (-610.79,13337.4)
37467: (x,y) = (-548.06,13144.4)
37468: (x,y) = (-630.627,13329.8)
37469: (x,y) = (-433.657,13280.7)
37470: (x,y) = (-347.866,13096.7)
37471: (x,y) = (-344.323,13299.7)
37472: (x,y) = (-451.897,13471.9)
37473: (x,y) = (-272.658,13376.6)
37474: (x,y) = (-471.929,13415.3)
37475: (x,y) = (-376.626,13594.5)
37476: (x,y) = (-525.091,13456.1)
37477: (x,y) = (-329.955,13400.1)
37478: (x,y) = (-531.842,13378.9)
37479: (x,y) = (-333.278,13421.1)
37480: (x,y) = (-305.026,13622.1)
37481: (x,y) = (-161.484,13478.6)
37482: (x,y) = (41.2381,13468)
37483: (x,y) = (-63.3146,13294)
37484: (x,y) = (138.573,13272.8)
37485: (x,y) = (-19.1873,13400.5)
37486: (x,y) = (-129.749,13230.3)
37487: (x,y) = (-43.9575,13046.3)
37488: (x,y) = (-151.531,12874.1)
37489: (x,y) = (-304.737,12740.9)
37490: (x,y) = (-222.17,12555.5)
37491: (x,y) = (-100.001,12393.4)
37492: (x,y) = (-27.2525,12203.8)
37493: (x,y) = (-83.2069,12008.7)
37494: (x,y) = (-238.714,11878.2)
37495: (x,y) = (-72.426,11994.7)
37496: (x,y) = (-141.856,12185.4)
37497: (x,y) = (-131.232,12388.1)
37498: (x,y) = (30.8911,12266)
37499: (x,y) = (6.15161,12467.5)
37500: (x,y) = (122.588,12301.2)
37501: (x,y) = (-10.5924,12454.4)
37502: (x,y) = (-212.48,12433.2)
37503: (x,y) = (-114.064,12255.6)
37504: (x,y) = (-159.729,12453.4)
37505: (x,y) = (-298.175,12304.9)
37506: (x,y) = (-95.2056,12308.5)
37507: (x,y) = (73.089,12195)
37508: (x,y) = (-100.916,12090.4)
37509: (x,y) = (-301.94,12062.2)
37510: (x,y) = (-113.722,11986.1)
37511: (x,y) = (-34.4036,11799.3)
37512: (x,y) = (161.679,11851.8)
37513: (x,y) = (-19.195,11759.6)
37514: (x,y) = (124.348,11903.2)
37515: (x,y) = (324.848,11934.9)
37516: (x,y) = (169.341,11804.5)
37517: (x,y) = (211.547,11605.9)
37518: (x,y) = (8.82567,11616.5)
37519: (x,y) = (-22.9305,11817)
37520: (x,y) = (173.152,11869.6)
37521: (x,y) = (367.282,11810.2)
37522: (x,y) = (395.534,11609.2)
37523: (x,y) = (192.565,11612.7)
37524: (x,y) = (82.0036,11442.5)
37525: (x,y) = (-71.2024,11575.6)
37526: (x,y) = (-57.0419,11778.2)
37527: (x,y) = (-214.802,11650.4)
37528: (x,y) = (-243.055,11851.4)
37529: (x,y) = (-204.32,11652.2)
37530: (x,y) = (-58.2944,11511.1)
37531: (x,y) = (-37.0751,11309.3)
37532: (x,y) = (87.9041,11469.2)
37533: (x,y) = (284.874,11518.3)
37534: (x,y) = (118.586,11401.9)
37535: (x,y) = (-66.8634,11484.5)
37536: (x,y) = (-162.166,11305.2)
37537: (x,y) = (-324.289,11183.1)
37538: (x,y) = (-122.401,11161.8)
37539: (x,y) = (43.8866,11045.4)
37540: (x,y) = (68.6261,10843.9)
37541: (x,y) = (-115.354,10758.1)
37542: (x,y) = (-248.534,10911.3)
37543: (x,y) = (-172.489,10723.1)
37544: (x,y) = (-123.379,10526.1)
37545: (x,y) = (-325.885,10540.3)
37546: (x,y) = (-527.773,10561.5)
37547: (x,y) = (-694.06,10678)
37548: (x,y) = (-518.257,10576.5)
37549: (x,y) = (-666.722,10438)
37550: (x,y) = (-755.711,10620.5)
37551: (x,y) = (-915.678,10495.5)
37552: (x,y) = (-1098.13,10406.5)
37553: (x,y) = (-1112.29,10204)
37554: (x,y) = (-1115.84,10001)
37555: (x,y) = (-972.293,9857.48)
37556: (x,y) = (-947.554,9655.99)
37557: (x,y) = (-745.326,9638.3)
37558: (x,y) = (-947.214,9659.52)
37559: (x,y) = (-752.078,9715.47)
37560: (x,y) = (-730.859,9513.58)
37561: (x,y) = (-528.137,9524.21)
37562: (x,y) = (-452.092,9335.99)
37563: (x,y) = (-278.087,9231.44)
37564: (x,y) = (-350.836,9041.92)
37565: (x,y) = (-521.086,9152.48)
37566: (x,y) = (-318.364,9141.86)
37567: (x,y) = (-115.642,9152.48)
37568: (x,y) = (-229.158,8984.19)
37569: (x,y) = (-28.6578,8952.43)
37570: (x,y) = (145.347,8847.88)
37571: (x,y) = (-35.5271,8940.04)
37572: (x,y) = (40.518,9128.26)
37573: (x,y) = (5.26744,9328.17)
37574: (x,y) = (19.428,9530.68)
37575: (x,y) = (220.915,9505.94)
37576: (x,y) = (242.134,9304.05)
37577: (x,y) = (106.301,9454.91)
37578: (x,y) = (306.217,9490.16)
37579: (x,y) = (210.914,9669.4)
37580: (x,y) = (413.141,9651.71)
37581: (x,y) = (616.018,9644.62)
37582: (x,y) = (801.467,9562.05)
37583: (x,y) = (860.819,9756.18)
37584: (x,y) = (839.6,9554.3)
37585: (x,y) = (753.808,9370.32)
37586: (x,y) = (933.047,9465.62)
37587: (x,y) = (730.17,9458.53)
37588: (x,y) = (654.125,9646.75)
37589: (x,y) = (710.079,9841.89)
37590: (x,y) = (779.509,10032.6)
37591: (x,y) = (957.057,10131.1)
37592: (x,y) = (1084.81,9973.3)
37593: (x,y) = (965.489,9809.07)
37594: (x,y) = (835.003,9653.56)
37595: (x,y) = (643.063,9587.47)
37596: (x,y) = (832.58,9660.22)
37597: (x,y) = (694.134,9511.76)
37598: (x,y) = (505.916,9435.71)
37599: (x,y) = (375.43,9591.22)
37600: (x,y) = (375.43,9794.22)
37601: (x,y) = (523.895,9932.67)
37602: (x,y) = (569.56,9734.87)
37603: (x,y) = (743.565,9839.42)
37604: (x,y) = (581.442,9961.59)
37605: (x,y) = (483.025,9784.04)
37606: (x,y) = (668.475,9866.61)
37607: (x,y) = (741.224,9677.09)
37608: (x,y) = (655.432,9493.11)
37609: (x,y) = (641.272,9290.61)
37610: (x,y) = (771.757,9446.11)
37611: (x,y) = (670.257,9270.31)
37612: (x,y) = (524.231,9411.33)
37613: (x,y) = (706.687,9500.31)
37614: (x,y) = (504.459,9482.62)
37615: (x,y) = (659.966,9613.11)
37616: (x,y) = (495.736,9732.43)
37617: (x,y) = (513.428,9934.66)
37618: (x,y) = (499.268,10137.2)
37619: (x,y) = (450.158,9940.19)
37620: (x,y) = (259.4,10009.6)
37621: (x,y) = (64.2639,10065.6)
37622: (x,y) = (-122.599,10144.9)
37623: (x,y) = (-188.689,10336.8)
37624: (x,y) = (-28.7228,10461.8)
37625: (x,y) = (152.152,10554)
37626: (x,y) = (-50.8484,10554)
37627: (x,y) = (25.1967,10365.8)
37628: (x,y) = (-94.1237,10530)
37629: (x,y) = (92.7388,10609.3)
37630: (x,y) = (175.306,10423.9)
37631: (x,y) = (178.849,10626.8)
37632: (x,y) = (274.152,10447.6)
37633: (x,y) = (112.029,10325.4)
37634: (x,y) = (10.5289,10501.2)
37635: (x,y) = (38.781,10702.2)
37636: (x,y) = (216.329,10603.8)
37637: (x,y) = (411.465,10659.8)
37638: (x,y) = (609.262,10705.4)
37639: (x,y) = (445.032,10586.1)
37640: (x,y) = (487.238,10387.6)
37641: (x,y) = (579.398,10568.4)
37642: (x,y) = (753.403,10463.9)
37643: (x,y) = (860.976,10636)
37644: (x,y) = (1020.94,10511.1)
37645: (x,y) = (838.487,10600)
37646: (x,y) = (1014.29,10498.5)
37647: (x,y) = (1202.51,10422.5)
37648: (x,y) = (1101.01,10246.7)
37649: (x,y) = (1193.17,10065.8)
37650: (x,y) = (1137.21,10261)
37651: (x,y) = (1144.3,10058.1)
37652: (x,y) = (1105.56,10257.4)
37653: (x,y) = (959.539,10398.4)
37654: (x,y) = (900.187,10204.2)
37655: (x,y) = (1098.75,10246.4)
37656: (x,y) = (1265.04,10362.9)
37657: (x,y) = (1320.99,10558)
37658: (x,y) = (1118.49,10572.2)
37659: (x,y) = (925.424,10634.9)
37660: (x,y) = (1099.43,10530.4)
37661: (x,y) = (1030,10721.1)
37662: (x,y) = (963.908,10529.2)
37663: (x,y) = (953.284,10326.5)
37664: (x,y) = (761.344,10260.4)
37665: (x,y) = (669.184,10079.5)
37666: (x,y) = (868.454,10040.8)
37667: (x,y) = (668.538,10076)
37668: (x,y) = (629.804,9876.74)
37669: (x,y) = (513.368,9710.45)
37670: (x,y) = (474.634,9511.18)
37671: (x,y) = (596.802,9673.3)
37672: (x,y) = (396.886,9708.55)
37673: (x,y) = (261.052,9557.69)
37674: (x,y) = (455.182,9498.34)
37675: (x,y) = (657.688,9512.5)
37676: (x,y) = (601.733,9317.37)
37677: (x,y) = (740.179,9168.9)
37678: (x,y) = (933.244,9106.17)
37679: (x,y) = (1135.13,9127.39)
37680: (x,y) = (1065.7,8936.63)
37681: (x,y) = (1223.46,8808.88)
37682: (x,y) = (1251.71,8607.86)
37683: (x,y) = (1105.69,8466.84)
37684: (x,y) = (1080.95,8668.33)
37685: (x,y) = (879.924,8696.58)
37686: (x,y) = (817.194,8889.64)
37687: (x,y) = (681.36,9040.5)
37688: (x,y) = (586.058,9219.74)
37689: (x,y) = (400.608,9302.31)
37690: (x,y) = (203.638,9351.42)
37691: (x,y) = (356.844,9218.24)
37692: (x,y) = (342.683,9015.73)
37693: (x,y) = (408.774,8823.79)
37694: (x,y) = (267.758,8677.77)
37695: (x,y) = (454.621,8598.45)
37696: (x,y) = (253.596,8626.7)
37697: (x,y) = (260.681,8829.58)
37698: (x,y) = (88.527,8937.15)
37699: (x,y) = (199.089,8766.9)
37700: (x,y) = (3.00577,8714.36)
37701: (x,y) = (141.451,8862.82)
37702: (x,y) = (343.957,8848.66)
37703: (x,y) = (546.184,8866.36)
37704: (x,y) = (375.934,8976.92)
37705: (x,y) = (565.451,8904.17)
37706: (x,y) = (765.367,8939.42)
37707: (x,y) = (918.573,9072.6)
37708: (x,y) = (722.49,9125.14)
37709: (x,y) = (576.464,8984.12)
37710: (x,y) = (712.298,9134.98)
37711: (x,y) = (771.649,8940.85)
37712: (x,y) = (882.211,9111.1)
37713: (x,y) = (689.146,9048.37)
37714: (x,y) = (876.009,9127.69)
37715: (x,y) = (1058.46,9216.68)
37716: (x,y) = (963.161,9037.44)
37717: (x,y) = (1165.88,9048.07)
37718: (x,y) = (1339.89,9152.62)
37719: (x,y) = (1542.89,9152.62)
37720: (x,y) = (1353.37,9225.37)
37721: (x,y) = (1159.24,9166.02)
37722: (x,y) = (1312.45,9032.84)
37723: (x,y) = (1404.61,8851.96)
37724: (x,y) = (1607.58,8848.42)
37725: (x,y) = (1715.15,9020.57)
37726: (x,y) = (1732.84,8818.35)
37727: (x,y) = (1881.31,8956.79)
37728: (x,y) = (2074.37,9019.52)
37729: (x,y) = (2166.53,9200.4)
37730: (x,y) = (2364.33,9154.73)
37731: (x,y) = (2194.08,9044.17)
37732: (x,y) = (2387.14,8981.44)
37733: (x,y) = (2581.27,8922.09)
37734: (x,y) = (2421.31,8797.11)
37735: (x,y) = (2624.28,8800.65)
37736: (x,y) = (2428.19,8748.11)
37737: (x,y) = (2392.94,8948.03)
37738: (x,y) = (2543.8,9083.86)
37739: (x,y) = (2418.82,8923.89)
37740: (x,y) = (2224.69,8864.54)
37741: (x,y) = (2384.66,8739.56)
37742: (x,y) = (2558.66,8844.12)
37743: (x,y) = (2439.34,9008.35)
37744: (x,y) = (2247.4,9074.44)
37745: (x,y) = (2363.84,9240.72)
37746: (x,y) = (2182.96,9332.88)
37747: (x,y) = (2200.66,9130.66)
37748: (x,y) = (2270.09,8939.9)
37749: (x,y) = (2067.58,8925.74)
37750: (x,y) = (1895.43,9033.31)
37751: (x,y) = (1895.43,9236.31)
37752: (x,y) = (1836.08,9042.18)
37753: (x,y) = (1776.72,9236.31)
37754: (x,y) = (1957.6,9328.47)
37755: (x,y) = (1844.08,9496.77)
37756: (x,y) = (2006.21,9618.94)
37757: (x,y) = (2113.78,9446.78)
37758: (x,y) = (1915.22,9488.99)
37759: (x,y) = (2031.65,9655.28)
37760: (x,y) = (1921.09,9485.03)
37761: (x,y) = (1737.11,9570.82)
37762: (x,y) = (1581.6,9701.3)
37763: (x,y) = (1423.84,9573.55)
37764: (x,y) = (1623.76,9608.8)
37765: (x,y) = (1496.01,9451.04)
37766: (x,y) = (1488.92,9653.92)
37767: (x,y) = (1534.59,9851.71)
37768: (x,y) = (1712.13,9753.3)
37769: (x,y) = (1568.59,9896.84)
37770: (x,y) = (1696.34,9739.08)
37771: (x,y) = (1851.85,9869.57)
37772: (x,y) = (2025.86,9765.01)
37773: (x,y) = (1855.61,9654.45)
37774: (x,y) = (1657.81,9700.12)
37775: (x,y) = (1860.68,9707.2)
37776: (x,y) = (1705.18,9837.69)
37777: (x,y) = (1506.61,9795.48)
37778: (x,y) = (1534.87,9594.46)
37779: (x,y) = (1604.3,9785.21)
37780: (x,y) = (1799.43,9841.17)
37781: (x,y) = (1882,10026.6)
37782: (x,y) = (1691.24,10096)
37783: (x,y) = (1533.48,10223.8)
37784: (x,y) = (1677.02,10367.3)
37785: (x,y) = (1476,10339.1)
37786: (x,y) = (1461.84,10136.6)
37787: (x,y) = (1486.58,10338.1)
37788: (x,y) = (1689.45,10345.2)
37789: (x,y) = (1808.78,10180.9)
37790: (x,y) = (2008.69,10216.2)
37791: (x,y) = (1907.19,10040.4)
37792: (x,y) = (1868.46,10239.6)
37793: (x,y) = (1690.91,10338.1)
37794: (x,y) = (1868.46,10239.6)
37795: (x,y) = (2062.59,10180.3)
37796: (x,y) = (2250.81,10256.3)
37797: (x,y) = (2339.79,10438.8)
37798: (x,y) = (2438.21,10616.3)
37799: (x,y) = (2294.67,10472.8)
37800: (x,y) = (2360.76,10664.7)
37801: (x,y) = (2265.46,10485.5)
37802: (x,y) = (2114.6,10621.3)
37803: (x,y) = (2270.1,10751.8)
37804: (x,y) = (2252.41,10954)
37805: (x,y) = (2368.85,10787.8)
37806: (x,y) = (2517.31,10926.2)
37807: (x,y) = (2457.96,11120.3)
37808: (x,y) = (2658.46,11152.1)
37809: (x,y) = (2460.66,11106.4)
37810: (x,y) = (2257.79,11113.5)
37811: (x,y) = (2212.12,10915.7)
37812: (x,y) = (2173.39,10716.4)
37813: (x,y) = (2361.61,10640.4)
37814: (x,y) = (2521.57,10765.4)
37815: (x,y) = (2635.09,10597.1)
37816: (x,y) = (2795.06,10722.1)
37817: (x,y) = (2592.55,10736.2)
37818: (x,y) = (2553.82,10537)
37819: (x,y) = (2707.02,10670.1)
37820: (x,y) = (2599.45,10842.3)
37821: (x,y) = (2439.48,10967.3)
37822: (x,y) = (2478.22,10768)
37823: (x,y) = (2460.52,10970.2)
37824: (x,y) = (2264.44,11022.8)
37825: (x,y) = (2201.71,10829.7)
37826: (x,y) = (2240.44,11029)
37827: (x,y) = (2038.96,11004.2)
37828: (x,y) = (1837.93,10976)
37829: (x,y) = (2036.5,11018.2)
37830: (x,y) = (2085.61,10821.2)
37831: (x,y) = (2046.87,10621.9)
37832: (x,y) = (1927.55,10786.2)
37833: (x,y) = (2022.86,10965.4)
37834: (x,y) = (2124.36,10789.6)
37835: (x,y) = (2110.2,10992.1)
37836: (x,y) = (2005.64,10818.1)
37837: (x,y) = (1839.35,10701.7)
37838: (x,y) = (1649.84,10628.9)
37839: (x,y) = (1573.79,10440.7)
37840: (x,y) = (1709.63,10591.6)
37841: (x,y) = (1901.57,10657.7)
37842: (x,y) = (1735.28,10774.1)
37843: (x,y) = (1532.31,10777.6)
37844: (x,y) = (1735.19,10770.5)
37845: (x,y) = (1848.7,10938.8)
37846: (x,y) = (2050.93,10921.2)
37847: (x,y) = (2043.84,10718.3)
37848: (x,y) = (1918.87,10558.3)
37849: (x,y) = (1796.7,10720.4)
37850: (x,y) = (1924.45,10562.7)
37851: (x,y) = (1786,10414.2)
37852: (x,y) = (1782.46,10211.2)
37853: (x,y) = (1740.25,10409.8)
37854: (x,y) = (1900.22,10284.8)
37855: (x,y) = (1956.18,10480)
37856: (x,y) = (1817.73,10331.5)
37857: (x,y) = (1970.94,10464.7)
37858: (x,y) = (1832.49,10613.1)
37859: (x,y) = (1948.93,10779.4)
37860: (x,y) = (2001.47,10583.3)
37861: (x,y) = (2067.56,10391.4)
37862: (x,y) = (2211.1,10247.9)
37863: (x,y) = (2336.08,10407.8)
37864: (x,y) = (2537.1,10379.6)
37865: (x,y) = (2414.93,10541.7)
37866: (x,y) = (2246.64,10655.2)
37867: (x,y) = (2200.97,10853)
37868: (x,y) = (2032.68,10739.5)
37869: (x,y) = (2230.48,10693.8)
37870: (x,y) = (2431.5,10665.6)
37871: (x,y) = (2403.25,10464.6)
37872: (x,y) = (2298.7,10290.5)
37873: (x,y) = (2499.2,10322.3)
37874: (x,y) = (2637.64,10173.8)
37875: (x,y) = (2527.08,10003.6)
37876: (x,y) = (2612.87,10187.6)
37877: (x,y) = (2737.85,10027.6)
37878: (x,y) = (2931.98,10087)
37879: (x,y) = (2732.07,10122.2)
37880: (x,y) = (2784.61,10318.3)
37881: (x,y) = (2954.86,10207.7)
37882: (x,y) = (3116.98,10329.9)
37883: (x,y) = (2952.75,10210.6)
37884: (x,y) = (3025.5,10400.1)
37885: (x,y) = (3228.47,10396.5)
37886: (x,y) = (3297.9,10205.8)
37887: (x,y) = (3386.89,10023.3)
37888: (x,y) = (3397.51,9820.61)
37889: (x,y) = (3483.3,9636.63)
37890: (x,y) = (3337.28,9495.62)
37891: (x,y) = (3406.71,9686.37)
37892: (x,y) = (3263.16,9542.83)
37893: (x,y) = (3060.19,9546.37)
37894: (x,y) = (2952.62,9718.53)
37895: (x,y) = (2956.16,9921.5)
37896: (x,y) = (2753.29,9928.58)
37897: (x,y) = (2597.78,10059.1)
37898: (x,y) = (2399.22,10016.9)
37899: (x,y) = (2571.37,10124.4)
37900: (x,y) = (2446.39,10284.4)
37901: (x,y) = (2559.91,10452.7)
37902: (x,y) = (2362.94,10501.8)
37903: (x,y) = (2258.38,10327.8)
37904: (x,y) = (2340.95,10513.3)
37905: (x,y) = (2541.45,10481.5)
37906: (x,y) = (2740.02,10439.3)
37907: (x,y) = (2942.74,10449.9)
37908: (x,y) = (3041.15,10272.4)
37909: (x,y) = (3243.38,10290.1)
37910: (x,y) = (3386.92,10433.6)
37911: (x,y) = (3583.01,10486.1)
37912: (x,y) = (3762.25,10390.8)
37913: (x,y) = (3790.5,10591.9)
37914: (x,y) = (3744.83,10789.7)
37915: (x,y) = (3758.99,10587.2)
37916: (x,y) = (3900.01,10441.1)
37917: (x,y) = (4068.3,10554.6)
37918: (x,y) = (4096.56,10755.7)
37919: (x,y) = (4064.8,10956.2)
37920: (x,y) = (3875.28,10883.4)
37921: (x,y) = (3994.6,10719.2)
37922: (x,y) = (3795.33,10757.9)
37923: (x,y) = (3890.64,10578.7)
37924: (x,y) = (4093.36,10568.1)
37925: (x,y) = (4169.4,10379.8)
37926: (x,y) = (4350.28,10472)
37927: (x,y) = (4148.05,10489.7)
37928: (x,y) = (4210.78,10682.8)
37929: (x,y) = (4203.7,10885.6)
37930: (x,y) = (4242.43,11084.9)
37931: (x,y) = (4305.16,11278)
37932: (x,y) = (4133.01,11385.5)
37933: (x,y) = (4040.85,11566.4)
37934: (x,y) = (3838.12,11555.8)
37935: (x,y) = (3852.29,11758.3)
37936: (x,y) = (3789.55,11951.4)
37937: (x,y) = (3589.05,11983.1)
37938: (x,y) = (3749.02,11858.1)
37939: (x,y) = (3784.27,11658.2)
37940: (x,y) = (3581.55,11668.9)
37941: (x,y) = (3783.04,11693.6)
37942: (x,y) = (3585.24,11739.3)
37943: (x,y) = (3411.23,11843.8)
37944: (x,y) = (3571.2,11718.8)
37945: (x,y) = (3571.2,11515.8)
37946: (x,y) = (3656.99,11331.8)
37947: (x,y) = (3678.21,11130)
37948: (x,y) = (3475.71,11144.1)
37949: (x,y) = (3668.77,11206.9)
37950: (x,y) = (3864.85,11259.4)
37951: (x,y) = (4057.92,11322.1)
37952: (x,y) = (4222.15,11202.8)
37953: (x,y) = (4335.66,11371.1)
37954: (x,y) = (4481.69,11230.1)
37955: (x,y) = (4284.72,11181)
37956: (x,y) = (4483.28,11138.8)
37957: (x,y) = (4319.05,11019.4)
37958: (x,y) = (4220.64,10841.9)
